record_set,benchmark,memory_system,scope,model_label,scale,budget,n,unbudgeted_success_count,pass_count,wrong_within_budget_count,budget_exhausted_count,unbudgeted_success,pass_at_b,p_wrong,p_exh,mean_calls,median_calls,p90_calls
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 8B,200,6,500,64,64,436,0,0.128,0.128,0.872,0.0,1.102,1.0,1.0
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 8B,300,1,500,53,52,414,34,0.106,0.104,0.828,0.068,1.136,1.0,1.0
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 8B,300,2,500,53,52,437,11,0.106,0.104,0.874,0.022,1.136,1.0,1.0
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 8B,300,3,500,53,52,440,8,0.106,0.104,0.88,0.016,1.136,1.0,1.0
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 8B,300,4,500,53,52,440,8,0.106,0.104,0.88,0.016,1.136,1.0,1.0
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 8B,300,5,500,53,52,441,7,0.106,0.104,0.882,0.014,1.136,1.0,1.0
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 8B,300,6,500,53,53,447,0,0.106,0.106,0.894,0.0,1.136,1.0,1.0
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 8B,400,1,500,65,64,419,17,0.13,0.128,0.838,0.034,1.08,1.0,1.0
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 8B,400,2,500,65,65,428,7,0.13,0.13,0.856,0.014,1.08,1.0,1.0
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 8B,400,3,500,65,65,429,6,0.13,0.13,0.858,0.012,1.08,1.0,1.0
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 8B,400,4,500,65,65,430,5,0.13,0.13,0.86,0.01,1.08,1.0,1.0
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 8B,400,5,500,65,65,430,5,0.13,0.13,0.86,0.01,1.08,1.0,1.0
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 8B,400,6,500,65,65,435,0,0.13,0.13,0.87,0.0,1.08,1.0,1.0
additional_interfaces,LongMemEval,MemOS-Tree,additional_interface_coverage,Qwen 235B,0,1,500,376,328,91,81,0.752,0.656,0.182,0.162,1.544,1.0,3.0
additional_interfaces,LongMemEval,MemOS-Tree,additional_interface_coverage,Qwen 235B,0,2,500,376,342,95,63,0.752,0.684,0.19,0.126,1.544,1.0,3.0
additional_interfaces,LongMemEval,MemOS-Tree,additional_interface_coverage,Qwen 235B,0,3,500,376,352,100,48,0.752,0.704,0.2,0.096,1.544,1.0,3.0
additional_interfaces,LongMemEval,MemOS-Tree,additional_interface_coverage,Qwen 235B,0,4,500,376,355,104,41,0.752,0.71,0.208,0.082,1.544,1.0,3.0
additional_interfaces,LongMemEval,MemOS-Tree,additional_interface_coverage,Qwen 235B,0,5,500,376,355,106,39,0.752,0.71,0.212,0.078,1.544,1.0,3.0
