source_package,benchmark,memory_system,scope,model_label,s,s_label,budget_B,run_status,coverage_ratio,p_exhaustion,p_wrong_within_budget,pass_at_b_taskavg,partition_mass_check
llama_licomemory_longmemeval_20260414_package,LongMemEval,LiCoMemory,supplementary_partial,Llama 70B,200,s200,4,complete,1.0,0.46,0.0345,0.5055,1.0
llama_licomemory_longmemeval_20260414_package,LongMemEval,LiCoMemory,supplementary_partial,Llama 70B,200,s200,5,complete,1.0,0.0,0.338,0.662,1.0
llama_licomemory_longmemeval_20260414_package,LongMemEval,LiCoMemory,supplementary_partial,Llama 70B,300,s300,1,complete,1.0,0.646,0.0035,0.3505,0.9999999999999999
llama_licomemory_longmemeval_20260414_package,LongMemEval,LiCoMemory,supplementary_partial,Llama 70B,300,s300,2,complete,1.0,0.5255,0.006,0.4685,1.0
llama_licomemory_longmemeval_20260414_package,LongMemEval,LiCoMemory,supplementary_partial,Llama 70B,300,s300,3,complete,1.0,0.5055,0.009,0.4855,0.9999999999999999
llama_licomemory_longmemeval_20260414_package,LongMemEval,LiCoMemory,supplementary_partial,Llama 70B,300,s300,4,complete,1.0,0.4635,0.0265,0.51,1.0
llama_licomemory_longmemeval_20260414_package,LongMemEval,LiCoMemory,supplementary_partial,Llama 70B,300,s300,5,complete,1.0,0.0,0.317,0.683,1.0
llama_licomemory_longmemeval_20260414_package,LongMemEval,LiCoMemory,supplementary_partial,Llama 70B,400,s400,1,partial,0.6335,0.5524861878453039,0.003946329913180742,0.4435674822415154,1.0
llama_licomemory_longmemeval_20260414_package,LongMemEval,LiCoMemory,supplementary_partial,Llama 70B,400,s400,2,partial,0.6335,0.4696132596685083,0.0055248618784530384,0.5248618784530387,1.0
llama_licomemory_longmemeval_20260414_package,LongMemEval,LiCoMemory,supplementary_partial,Llama 70B,400,s400,3,partial,0.6335,0.4404104183109708,0.011049723756906077,0.5485398579321231,1.0
llama_licomemory_longmemeval_20260414_package,LongMemEval,LiCoMemory,supplementary_partial,Llama 70B,400,s400,4,partial,0.6335,0.3820047355958958,0.04025256511444357,0.5777426992896606,0.9999999999999999
llama_licomemory_longmemeval_20260414_package,LongMemEval,LiCoMemory,supplementary_partial,Llama 70B,400,s400,5,partial,0.6335,0.0,0.2565114443567482,0.7434885556432518,1.0
llama_licomemory_longmemeval_20260414_package,LongMemEval,LiCoMemory,supplementary_partial,Llama 8B,0,s0,1,complete,1.0,0.9865,0.0,0.0135,1.0
llama_licomemory_longmemeval_20260414_package,LongMemEval,LiCoMemory,supplementary_partial,Llama 8B,0,s0,2,complete,1.0,0.951,0.0,0.049,1.0
llama_licomemory_longmemeval_20260414_package,LongMemEval,LiCoMemory,supplementary_partial,Llama 8B,0,s0,3,complete,1.0,0.9365,0.0,0.0635,1.0
llama_licomemory_longmemeval_20260414_package,LongMemEval,LiCoMemory,supplementary_partial,Llama 8B,0,s0,4,complete,1.0,0.934,0.0,0.066,1.0
llama_licomemory_longmemeval_20260414_package,LongMemEval,LiCoMemory,supplementary_partial,Llama 8B,0,s0,5,complete,1.0,0.0,0.8285,0.1715,1.0
llama_licomemory_longmemeval_20260414_package,LongMemEval,LiCoMemory,supplementary_partial,Llama 8B,100,s100,1,complete,1.0,0.9925,0.0,0.0075,1.0
llama_licomemory_longmemeval_20260414_package,LongMemEval,LiCoMemory,supplementary_partial,Llama 8B,100,s100,2,complete,1.0,0.958,0.0,0.042,1.0
llama_licomemory_longmemeval_20260414_package,LongMemEval,LiCoMemory,supplementary_partial,Llama 8B,100,s100,3,complete,1.0,0.942,0.0,0.058,1.0
llama_licomemory_longmemeval_20260414_package,LongMemEval,LiCoMemory,supplementary_partial,Llama 8B,100,s100,4,complete,1.0,0.9385,0.0,0.0615,1.0
llama_licomemory_longmemeval_20260414_package,LongMemEval,LiCoMemory,supplementary_partial,Llama 8B,100,s100,5,complete,1.0,0.0,0.8295,0.1705,1.0
llama_licomemory_longmemeval_20260414_package,LongMemEval,LiCoMemory,supplementary_partial,Llama 8B,200,s200,1,complete,1.0,0.9865,0.0,0.0135,1.0
llama_licomemory_longmemeval_20260414_package,LongMemEval,LiCoMemory,supplementary_partial,Llama 8B,200,s200,2,complete,1.0,0.9515,0.0,0.0485,1.0
llama_licomemory_longmemeval_20260414_package,LongMemEval,LiCoMemory,supplementary_partial,Llama 8B,200,s200,3,complete,1.0,0.9385,0.0,0.0615,1.0
llama_licomemory_longmemeval_20260414_package,LongMemEval,LiCoMemory,supplementary_partial,Llama 8B,200,s200,4,complete,1.0,0.9355,0.0,0.0645,1.0
llama_licomemory_longmemeval_20260414_package,LongMemEval,LiCoMemory,supplementary_partial,Llama 8B,200,s200,5,complete,1.0,0.0,0.832,0.168,1.0
llama_licomemory_longmemeval_20260414_package,LongMemEval,LiCoMemory,supplementary_partial,Llama 8B,300,s300,1,complete,1.0,0.9885,0.0,0.0115,1.0
llama_licomemory_longmemeval_20260414_package,LongMemEval,LiCoMemory,supplementary_partial,Llama 8B,300,s300,2,complete,1.0,0.953,0.0,0.047,1.0
llama_licomemory_longmemeval_20260414_package,LongMemEval,LiCoMemory,supplementary_partial,Llama 8B,300,s300,3,complete,1.0,0.9365,0.0,0.0635,1.0
llama_licomemory_longmemeval_20260414_package,LongMemEval,LiCoMemory,supplementary_partial,Llama 8B,300,s300,4,complete,1.0,0.935,0.0,0.065,1.0
llama_licomemory_longmemeval_20260414_package,LongMemEval,LiCoMemory,supplementary_partial,Llama 8B,300,s300,5,complete,1.0,0.0,0.834,0.166,1.0
llama_licomemory_longmemeval_20260414_package,LongMemEval,LiCoMemory,supplementary_partial,Llama 8B,400,s400,1,complete,1.0,0.987,0.0,0.013,1.0
llama_licomemory_longmemeval_20260414_package,LongMemEval,LiCoMemory,supplementary_partial,Llama 8B,400,s400,2,complete,1.0,0.95,0.0,0.05,1.0
llama_licomemory_longmemeval_20260414_package,LongMemEval,LiCoMemory,supplementary_partial,Llama 8B,400,s400,3,complete,1.0,0.9395,0.0,0.0605,1.0
llama_licomemory_longmemeval_20260414_package,LongMemEval,LiCoMemory,supplementary_partial,Llama 8B,400,s400,4,complete,1.0,0.9355,0.0,0.0645,1.0
llama_licomemory_longmemeval_20260414_package,LongMemEval,LiCoMemory,supplementary_partial,Llama 8B,400,s400,5,complete,1.0,0.0,0.832,0.168,1.0
qwen_hipporag_locomo_20260403_package,LoCoMo,HippoRAG,main_complete,Qwen 235B,0,s0,1,complete,1.0,0.0,0.35815602836879434,0.6418439716312057,1.0
qwen_hipporag_locomo_20260403_package,LoCoMo,HippoRAG,main_complete,Qwen 235B,0,s0,2,complete,1.0,0.0,0.35815602836879434,0.6418439716312057,1.0
qwen_hipporag_locomo_20260403_package,LoCoMo,HippoRAG,main_complete,Qwen 235B,0,s0,3,complete,1.0,0.0,0.35815602836879434,0.6418439716312057,1.0
qwen_hipporag_locomo_20260403_package,LoCoMo,HippoRAG,main_complete,Qwen 235B,0,s0,4,complete,1.0,0.0,0.35815602836879434,0.6418439716312057,1.0
qwen_hipporag_locomo_20260403_package,LoCoMo,HippoRAG,main_complete,Qwen 235B,0,s0,5,complete,1.0,0.0,0.35815602836879434,0.6418439716312057,1.0
qwen_hipporag_locomo_20260403_package,LoCoMo,HippoRAG,main_complete,Qwen 235B,100,s100,1,complete,1.0,0.0,0.3333333333333333,0.6666666666666666,1.0
qwen_hipporag_locomo_20260403_package,LoCoMo,HippoRAG,main_complete,Qwen 235B,100,s100,2,complete,1.0,0.0,0.3333333333333333,0.6666666666666666,1.0
qwen_hipporag_locomo_20260403_package,LoCoMo,HippoRAG,main_complete,Qwen 235B,100,s100,3,complete,1.0,0.0,0.3333333333333333,0.6666666666666666,1.0
qwen_hipporag_locomo_20260403_package,LoCoMo,HippoRAG,main_complete,Qwen 235B,100,s100,4,complete,1.0,0.0,0.3333333333333333,0.6666666666666666,1.0
qwen_hipporag_locomo_20260403_package,LoCoMo,HippoRAG,main_complete,Qwen 235B,100,s100,5,complete,1.0,0.0,0.3333333333333333,0.6666666666666666,1.0
qwen_hipporag_locomo_20260403_package,LoCoMo,HippoRAG,main_complete,Qwen 235B,200,s200,1,complete,1.0,0.0,0.3546099290780142,0.6453900709219859,1.0
qwen_hipporag_locomo_20260403_package,LoCoMo,HippoRAG,main_complete,Qwen 235B,200,s200,2,complete,1.0,0.0,0.3546099290780142,0.6453900709219859,1.0
qwen_hipporag_locomo_20260403_package,LoCoMo,HippoRAG,main_complete,Qwen 235B,200,s200,3,complete,1.0,0.0,0.3546099290780142,0.6453900709219859,1.0
qwen_hipporag_locomo_20260403_package,LoCoMo,HippoRAG,main_complete,Qwen 235B,200,s200,4,complete,1.0,0.0,0.3546099290780142,0.6453900709219859,1.0
qwen_hipporag_locomo_20260403_package,LoCoMo,HippoRAG,main_complete,Qwen 235B,200,s200,5,complete,1.0,0.0,0.3546099290780142,0.6453900709219859,1.0
qwen_hipporag_locomo_20260403_package,LoCoMo,HippoRAG,main_complete,Qwen 235B,300,s300,1,complete,1.0,0.0,0.3475177304964539,0.6524822695035462,1.0
qwen_hipporag_locomo_20260403_package,LoCoMo,HippoRAG,main_complete,Qwen 235B,300,s300,2,complete,1.0,0.0,0.3475177304964539,0.6524822695035462,1.0
qwen_hipporag_locomo_20260403_package,LoCoMo,HippoRAG,main_complete,Qwen 235B,300,s300,3,complete,1.0,0.0,0.3475177304964539,0.6524822695035462,1.0
qwen_hipporag_locomo_20260403_package,LoCoMo,HippoRAG,main_complete,Qwen 235B,300,s300,4,complete,1.0,0.0,0.3475177304964539,0.6524822695035462,1.0
qwen_hipporag_locomo_20260403_package,LoCoMo,HippoRAG,main_complete,Qwen 235B,300,s300,5,complete,1.0,0.0,0.3475177304964539,0.6524822695035462,1.0
qwen_hipporag_locomo_20260403_package,LoCoMo,HippoRAG,main_complete,Qwen 235B,400,s400,1,complete,1.0,0.0,0.36524822695035464,0.6347517730496454,1.0
qwen_hipporag_locomo_20260403_package,LoCoMo,HippoRAG,main_complete,Qwen 235B,400,s400,2,complete,1.0,0.0,0.36524822695035464,0.6347517730496454,1.0
qwen_hipporag_locomo_20260403_package,LoCoMo,HippoRAG,main_complete,Qwen 235B,400,s400,3,complete,1.0,0.0,0.36524822695035464,0.6347517730496454,1.0
qwen_hipporag_locomo_20260403_package,LoCoMo,HippoRAG,main_complete,Qwen 235B,400,s400,4,complete,1.0,0.0,0.36524822695035464,0.6347517730496454,1.0
qwen_hipporag_locomo_20260403_package,LoCoMo,HippoRAG,main_complete,Qwen 235B,400,s400,5,complete,1.0,0.0,0.36524822695035464,0.6347517730496454,1.0
qwen_hipporag_locomo_20260403_package,LoCoMo,HippoRAG,main_complete,Qwen 32B,0,s0,1,complete,1.0,0.0,0.38652482269503546,0.6134751773049646,1.0
qwen_hipporag_locomo_20260403_package,LoCoMo,HippoRAG,main_complete,Qwen 32B,0,s0,2,complete,1.0,0.0,0.38652482269503546,0.6134751773049646,1.0
qwen_hipporag_locomo_20260403_package,LoCoMo,HippoRAG,main_complete,Qwen 32B,0,s0,3,complete,1.0,0.0,0.38652482269503546,0.6134751773049646,1.0
